country
Spain
Portugal
Great Britain
England
Scotland
Ireland
France
Netherlands
Denmark
Northern Germany
Belgium
Norway
Sweden
Italy
Russia
Latvia
Rhode Island
New Hampshire
Massachusetts
Connecticut
New York
New Jersey
Pennsylvania
Maryland
Virginia
South Carolina
Georgia
Florida
Gulf coast
Other North America
Hispaniola
Puerto Rico
Cuba
Other Spanish Caribbean
Dutch Caribbean
Tortola
Antigua
St. Kitts
Nevis
Montserrat
Dominica
St. Lucia
Barbados
Grenada
Tobago
Jamaica
British Guiana
British Honduras
Other British Caribbean
Martinique
Guadaloupe
French Guiana
Saint-Domingue
Danish West Indies
St. Barthélemy (Sweden)
Spanish Circum-Caribbean
Rio de la Plata
Amazonia
Bahia
Pernambuco
Southeast Brazil
Other Brazil
Senegambia and offshore Atlantic
Sierra Leone
Gold Coast
Bight of Biafra and Gulf of Guinea islands
West Central Africa and St. Helena
Southeast Africa and Indian Ocean islands
Other Africa
Americas
British Americas
India
Totals
