"","port_origin","voyage_id","ship_name","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","country","lat","lng"
"1","Africa.","2555","D Francisco","Whydah","Barbados","1837","433","Lisboa, Antônio Pereira",NA,NA,NA
"2","Africa.","2556","Florida","Lagos, Onim","Grenada","1837","280",NA,NA,NA,NA
"3","Africa.","2557","Florida","Lagos, Onim","Cuba","1836",NA,NA,NA,NA,NA
"4","Africa.","2721","Cipher",NA,NA,"1841",NA,NA,NA,NA,NA
"5","Africa.","3049","Legítimo Africano","Whydah","Freetown","1835","186","Lima, José Manoel de",NA,NA,NA
"6","Africa.","4557",NA,"Congo River","Rio de Janeiro province","1851","168",NA,NA,NA,NA
"7","Africa.","4715","Princesa",NA,NA,"1845",NA,"Vieira, Joaquim Antônio",NA,NA,NA
"8","Africa.","4985",NA,"Cabinda","St. Helena","1862",NA,NA,NA,NA,NA
"9","Africa.","26447","Graaf Enno","Calabar",NA,"1659",NA,"Jobs, James",NA,NA,NA
"10","Africa.","4781","Fortuna",NA,NA,"1850",NA,NA,NA,NA,NA
"11","Africa.","4901","Rivale","Quicombo",NA,"1850",NA,NA,NA,NA,NA
"12","Africa.","3299","Veloz",NA,NA,"1839",NA,"Silva, Antônio Rodrigues da",NA,NA,NA
"13","Africa.","3548","Gago",NA,NA,"1845",NA,NA,NA,NA,NA
"14","Africa.","3877",NA,"Nova Redonda","Pernambuco","1845","92",NA,NA,NA,NA
"15","Africa.","3884","Enganador","Sherbro","Freetown","1844","347","Castro, Severiano de",NA,NA,NA
"16","Africa.","4057","Vinte e Cinco de Setembro","Benguela","St. Helena","1850","174","Souza, José de",NA,NA,NA
"17","Amelia Island","7620","Dolores",NA,NA,"1815",NA,NA,NA,NA,NA
"18","Americas","41900","Complex","Africa.",NA,"1831",NA,NA,NA,NA,NA
"19","Amsterdam","10497","Cornelia","Windward + Ivory + Gold + Benin","Americas","1764","280","Belendorp, Jacob","Netherlands",52.35,4.9166
"20","Amsterdam","10483","Clasina Petronella","Congo North","Suriname","1765","330","Commin, Gerrit<br/> Castelijn, Johan","Netherlands",52.35,4.9166
"21","Amsterdam","11209","Zeevrugt","Elmina","Americas","1793",NA,"Post, Christiaan","Netherlands",52.35,4.9166
"22","Amsterdam","10184","Helena","Elmina","Suriname","1735","180","Baarspul, Theunis","Netherlands",52.35,4.9166
"23","Amsterdam","10534","Duinvliet","Africa.","Suriname","1744","340","Lindenberg, Jurriaan","Netherlands",52.35,4.9166
"24","Amsterdam","10186","Hollandia","Ardra","Curacao","1687",NA,"Schepmoes, Abraham","Netherlands",52.35,4.9166
"25","Amsterdam","11206","Zeelust","Elmina","Suriname","1792","120","Mackaij, Anthony","Netherlands",52.35,4.9166
"26","Amsterdam","21569","Daniel (a) Rode Fortuin","Gold Coast","Elmina","1661",NA,"Oakes, Henry","Netherlands",52.35,4.9166
"27","Amsterdam","10748","Jonge Jan","Elmina","Suriname","1784","147","Riems, Jan","Netherlands",52.35,4.9166
"28","Amsterdam","35076","Cron Printz Christian (a) Cron Printzen","Christiansborg","Danish West Indies, colony unspecified","1714","153","Thomas, Jacob (Jacques)","Netherlands",52.35,4.9166
"29","Amsterdam","11370","Vliegende Raven","West Central Africa and St. Helena","Americas, region unspecified","1597",NA,"Hermissen, Merten","Netherlands",52.35,4.9166
"30","Amsterdam","10915","Nieuwe Hoop","Elmina","Suriname","1790","180","Dijker, Willem","Netherlands",52.35,4.9166
"31","Amsterdam","11898","S Pieter","Sierra Leone","Cartagena","1701",NA,"Leeuwen, Gerrit van","Netherlands",52.35,4.9166
"32","Amsterdam","35369","Neptunus","Accra","Suriname","1796","179","Brun, Hans","Netherlands",52.35,4.9166
"33","Amsterdam","10402","Africaander","Windward + Ivory + Gold + Benin","Suriname","1742","176","Smit, Jan<br/> Schrijver, Jan de","Netherlands",52.35,4.9166
"34","Amsterdam","11041","Trompenburg","Elmina","Suriname","1793","60","Jantzen, Pieter","Netherlands",52.35,4.9166
"35","Amsterdam","11131","Watervliet","Windward + Ivory + Gold + Benin","Suriname","1747","253","Jonker, Cornelis","Netherlands",52.35,4.9166
"36","Amsterdam","10804","Lust and Vlijt","Elmina","Suriname","1793",NA,"Duijker, Gerrit<br/> Luijtzen, Simon","Netherlands",52.35,4.9166
"37","Amsterdam","33893","Sereine","Goree","Basse-Terre","1683",NA,"Gildem, Cornel","Netherlands",52.35,4.9166
"38","Amsterdam","11024","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1765","291","Meijster, Hendrik","Netherlands",52.35,4.9166
"39","Amsterdam","11799","Eendracht","Elmina","Curacao","1674",NA,"Joosten, Leendert","Netherlands",52.35,4.9166
"40","Amsterdam","10884","Neptunus","Africa.","Suriname","1745","410","Outjes, Jochem","Netherlands",52.35,4.9166
"41","Amsterdam","11768","Nieuwe Hoop","Elmina","Suriname","1792","323","Dijker, Willem","Netherlands",52.35,4.9166
"42","Amsterdam","11904","Vier Gebroeders","Calabar","St. Eustatius","1702",NA,"Osdorp, Lucas<br/> Focquerel, Thomas","Netherlands",52.35,4.9166
"43","Amsterdam","10426","Amphitrite","Malembo","Suriname","1765","150","Dedelhof, Pieter<br/> Huijsing, C","Netherlands",52.35,4.9166
"44","Amsterdam","10424","America","Africa.","Suriname","1744","135","Hees, Jan van","Netherlands",52.35,4.9166
"45","Amsterdam","10076","Christina","Congo North","Suriname","1685",NA,"Claver, Jan Claasz","Netherlands",52.35,4.9166
"46","Amsterdam","11022","Surinaamse Welvaart","Gold Coast","Suriname","1761","276","Meijster, Hendrik","Netherlands",52.35,4.9166
"47","Amsterdam","26410","Jupiter","Africa.","Barbados","1648",NA,"Mol, Sijmon Sijmonsz<br/> Jansz, Gijsbert","Netherlands",52.35,4.9166
"48","Amsterdam","11106","Vriendschap","Windward + Ivory + Gold + Benin","Suriname","1776","250","Muller, Daniel","Netherlands",52.35,4.9166
"49","Amsterdam","10484","Clasina Petronella","Malembo","Suriname","1767","180","Rencken, Hendrik","Netherlands",52.35,4.9166
"50","Amsterdam","11023","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1763","268","Meijster, Hendrik","Netherlands",52.35,4.9166
"51","Amsterdam","11082","Vijf Gezusters","Windward + Ivory + Gold + Benin","Suriname","1767","236","Winterheim, Christiaan Frederik","Netherlands",52.35,4.9166
"52","Amsterdam","11733","Hoop","West Central Africa and St. Helena","Curacao","1670",NA,"Meijndertse, Ide","Netherlands",52.35,4.9166
"53","Amsterdam","10433","Anna Galei","Africa.","Curacao","1747","200","Bruijn, Arend","Netherlands",52.35,4.9166
"54","Amsterdam","11983","Winthond",NA,"Americas","1724",NA,NA,"Netherlands",52.35,4.9166
"55","Amsterdam","10749","Jonge Jan","Elmina","Suriname","1792","130","Bakker, Dirk","Netherlands",52.35,4.9166
"56","Amsterdam","11017","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1751","200","Ridder, Jan de<br/> Gerritsen, Job","Netherlands",52.35,4.9166
"57","Amsterdam","10727","Jonge Dirk","Elmina","Suriname","1791","200","Grim, Jochem","Netherlands",52.35,4.9166
"58","Amsterdam","10728","Jonge Dirk","Windward + Ivory + Gold + Benin","Suriname","1793","200","Grim, Jochem","Netherlands",52.35,4.9166
"59","Amsterdam","11011","Surinaamse Galei","Africa.","Suriname","1745","280","Ridder, Jan de","Netherlands",52.35,4.9166
"60","Amsterdam","10987","Resolutie","Gold Coast","Suriname","1754","300","Ridder, Jan de","Netherlands",52.35,4.9166
"61","Amsterdam","10631","Guinese Vrienden","Windward + Ivory + Gold + Benin","Suriname","1763","320","Meijer<br/> Rulle, A","Netherlands",52.35,4.9166
"62","Amsterdam","11760","Vijf Gezusters","Windward + Ivory + Gold + Benin","Suriname","1769","216","Winterheim, Christiaan Frederik","Netherlands",52.35,4.9166
"63","Amsterdam","11589","Jupiter","West Central Africa and St. Helena","Suriname","1671",NA,"Voogt, Barent Harmensz","Netherlands",52.35,4.9166
"64","Amsterdam","10025","Alida","Bight of Benin","Veracruz","1686","300","Balck, Jan Jacobsz","Netherlands",52.35,4.9166
"65","Amsterdam","11601","Haarlem","Sao Tome","Americas, region unspecified","1645",NA,"Hoen, Sijmen","Netherlands",52.35,4.9166
"66","Amsterdam","10802","Lea","Elmina","Suriname","1788","140","Jacobs, Claas","Netherlands",52.35,4.9166
"67","Amsterdam","11884","Vergulde Fortuijn (a) Fortuijn van Portugal","Senegambia and offshore Atlantic",NA,"1700",NA,"Cleijn, Roelof","Netherlands",52.35,4.9166
"68","Amsterdam","10425","America","Windward + Ivory + Gold + Benin","Suriname","1746","150","Hees, Jan van<br/> Bollevaarde, J","Netherlands",52.35,4.9166
"69","Amsterdam","11018","Surinaamse Welvaart","Anomabu","Suriname","1754","300","Bruijn, Arend","Netherlands",52.35,4.9166
"70","Amsterdam","11031","Suriname","Bight of Benin","Suriname","1749","478","Veltz, Christiaan","Netherlands",52.35,4.9166
"71","Amsterdam","10897","Nicolaas","Congo North","Suriname","1767","269","Groef, Magnus","Netherlands",52.35,4.9166
"72","Amsterdam","10917","Johan van Oldenbarneveld","Elmina","Suriname","1788","189","Dijker, Willem","Netherlands",52.35,4.9166
"73","Amsterdam","11289","Halve Maan","Ardra","Pernambuco","1637",NA,NA,"Netherlands",52.35,4.9166
"74","Amsterdam","11129","Watervliet","Africa.","Suriname","1743","366","Winea, Dirk","Netherlands",52.35,4.9166
"75","Amsterdam","44151","Anna","Sierra Leone estuary","Canary Islands","1654",NA,NA,"Netherlands",52.35,4.9166
"76","Amsterdam","11025","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1767","280","Meijster, Hendrik","Netherlands",52.35,4.9166
"77","Amsterdam","33916","Bonne Esperance","Africa.","St. Kitts","1648",NA,"Pijl, Sijmon<br/> Andriesz, Andries","Netherlands",52.35,4.9166
"78","Amsterdam","11019","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1756","301","Bruijn, Arend","Netherlands",52.35,4.9166
"79","Amsterdam","11081","Vijf Gezusters","Cape Lahou","Suriname","1765","246","Winterheim, Christiaan Frederik","Netherlands",52.35,4.9166
"80","Amsterdam","11027","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1770","291","Sluijter, Pieter Hermanus","Netherlands",52.35,4.9166
"81","Amsterdam","14351","S Antonio","Bonny","Cartagena","1788","158",NA,"Netherlands",52.35,4.9166
"82","Amsterdam","10607","Gezegend Suikerriet","Windward + Ivory + Gold + Benin","Suriname","1751","235","Rust, Jonas<br/> Lagerboom, Pieter","Netherlands",52.35,4.9166
"83","Amsterdam","10898","Nicolaas","Windward + Ivory + Gold + Benin","Suriname","1769","280","Groef, Magnus","Netherlands",52.35,4.9166
"84","Amsterdam","10726","Jonge Cornelis","Windward + Ivory + Gold + Benin","Suriname","1747","260","Jol, David","Netherlands",52.35,4.9166
"85","Amsterdam","10565","Françoise en Catharina","Windward + Ivory + Gold + Benin","Suriname","1747","253","Groot, Michiel de","Netherlands",52.35,4.9166
"86","Amsterdam","10746","Jonge Jan","Windward + Ivory + Gold + Benin","Suriname","1763","180","Hambeek, Hendrik","Netherlands",52.35,4.9166
"87","Amsterdam","10454","Avonturier","Elmina","Demerara","1787","300","Valk, Barend de","Netherlands",52.35,4.9166
"88","Amsterdam","10747","Jonge Jan","Malembo","Suriname","1765","170","Bevers, Anthony","Netherlands",52.35,4.9166
"89","Amsterdam","10893","Nicolaas","Gold Coast","Suriname","1760","300","Bruijn, Arend","Netherlands",52.35,4.9166
"90","Amsterdam","11083","Vijf Gezusters","Elmina","Suriname","1771","208","Winterheim, Christiaan Frederik","Netherlands",52.35,4.9166
"91","Amsterdam","10803","Louisa Margarita","Windward + Ivory + Gold + Benin","Suriname","1747","543","Lindenberg, J","Netherlands",52.35,4.9166
"92","Amsterdam","11104","Vriendschap","Cape Lahou","Suriname","1771","250","Groef, Magnus","Netherlands",52.35,4.9166
"93","Amsterdam","98809","Profeet Daniel","Ardra","Hispaniola, unspecified","1649",NA,"Billegas, Pedro Garcia do","Netherlands",52.35,4.9166
"94","Amsterdam","11834","Engel Gabriel","West Central Africa and St. Helena","Spanish Americas","1615",NA,NA,"Netherlands",52.35,4.9166
"95","Amsterdam","11372","S Pieter",NA,NA,"1615",NA,"Dircksz, Jacob<br/> Alvares, Rodrigo","Netherlands",52.35,4.9166
"96","Amsterdam","10434","Anna Galei","Windward + Ivory + Gold + Benin","Suriname","1750","146","Bruijn, Arend","Netherlands",52.35,4.9166
"97","Amsterdam","11105","Vriendschap","Elmina","Suriname","1774","230","Groef, Magnus<br/> Muller, Daniel","Netherlands",52.35,4.9166
"98","Amsterdam","10928","Pelicaan","Elmina","Berbice","1790","380","Kans, Willem","Netherlands",52.35,4.9166
"99","Amsterdam","10725","Jonge Cornelis","Africa.","Suriname","1745","380","Jol, David","Netherlands",52.35,4.9166
"100","Amsterdam","8490","NS do Popolo e S Antônio","Luanda","Buenos Aires","1656",NA,"Domingues, Martins<br/> Almeida, Benito de<br/> Aguero, Fernando de la Rua","Netherlands",52.35,4.9166
"101","Amsterdam","11130","Watervliet","Windward + Ivory + Gold + Benin","Curacao","1745","400","Winea, Dirk","Netherlands",52.35,4.9166
"102","Amsterdam","10892","Nicolaas","Elmina","Suriname","1757","98","Hollen, Jacobus","Netherlands",52.35,4.9166
"103","Amsterdam","11102","Vogelenstein","Elmina","Suriname","1793","139","Spaan, Christoffel","Netherlands",52.35,4.9166
"104","Amsterdam","10895","Nicolaas","Windward + Ivory + Gold + Benin","Suriname","1764","312","Bruijn, Arend","Netherlands",52.35,4.9166
"105","Amsterdam","11767","Dapperheid","Elmina","Suriname","1792","325","Ender, Laurens","Netherlands",52.35,4.9166
"106","Amsterdam","10623","Stad Groningen","Elmina","Suriname","1787","135","Tol, Casper","Netherlands",52.35,4.9166
"107","Amsterdam","11016","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1749","260","Ridder, Jan de","Netherlands",52.35,4.9166
"108","Amsterdam","11903","S Joseph","Sierra Leone","Suriname","1702",NA,"Adriaansen, Wylof<br/> Koetswagen, J J","Netherlands",52.35,4.9166
"109","Amsterdam","10611","Goed Voornemen","Elmina","Suriname","1791","276","Tol, Casper","Netherlands",52.35,4.9166
"110","Amsterdam","11402","Aurora","Cape Lahou","Demerara","1803",NA,"Vliet, van","Netherlands",52.35,4.9166
"111","Amsterdam","11415","Vrijheid","Africa.","Curacao","1693",NA,NA,"Netherlands",52.35,4.9166
"112","Amsterdam","98802",NA,"Ardra","Rio de la Hacha","1659","318",NA,"Netherlands",52.35,4.9166
"113","Amsterdam","11945","Elisabeth","West Central Africa and St. Helena","St. Thomas","1716",NA,"Pater, Jan","Netherlands",52.35,4.9166
"114","Amsterdam","11929",NA,NA,"Curacao","1715",NA,"Doets, Jan Cornelis","Netherlands",52.35,4.9166
"115","Amsterdam","10794","Kroonprins van Pruisen","Congo North","St. Lucia","1785",NA,"Meester, Hendrik","Netherlands",52.35,4.9166
"116","Amsterdam","11020","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1758","329","Bruijn, Arend","Netherlands",52.35,4.9166
"117","Amsterdam","10437","Anna en Maria","Windward + Ivory + Gold + Benin","Suriname","1767","287","Lagerboom, Pieter<br/> Eggers, Martin","Netherlands",52.35,4.9166
"118","Amsterdam","11029","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1775","286","Boon, Jan Jansen","Netherlands",52.35,4.9166
"119","Amsterdam","11021","Surinaamse Welvaart","Gold Coast","Suriname","1760","350","Meijster, Hendrik","Netherlands",52.35,4.9166
"120","Amsterdam","33633","Anne Marie","Africa.","Americas","1666",NA,"Abel, Jean van","Netherlands",52.35,4.9166
"121","Amsterdam","11015","Surinaamse Welvaart","Africa.","Suriname","1747","350","Ridder, Jan de","Netherlands",52.35,4.9166
"122","Amsterdam","10900","Nicolaas","Windward + Ivory + Gold + Benin","Suriname","1773","188","Pekroen, Adam","Netherlands",52.35,4.9166
"123","Amsterdam","10801","Landlust","Elmina","Suriname","1789","160","Tol, Casper","Netherlands",52.35,4.9166
"124","Amsterdam","10896","Nicolaas","Africa.","Suriname","1765","296","Groef, Magnus","Netherlands",52.35,4.9166
"125","Amsterdam","11028","Surinaamse Welvaart","Africa.","Suriname","1773","80","Sluijter, Pieter Hermanus<br/> Boon, Jan Jansen","Netherlands",52.35,4.9166
"126","Amsterdam","11030","Surinaamse Welvaart","Africa.","Suriname","1777","300","Boon, Jan Jansen<br/> Seijer, Hans","Netherlands",52.35,4.9166
"127","Amsterdam","10923","Ouderkerk","Elmina","Berbice","1758","430","Parre, Pieter van der<br/> Dahlboom, Claas","Netherlands",52.35,4.9166
"128","Amsterdam","10899","Nicolaas","Windward + Ivory + Gold + Benin","Suriname","1770","280","Claasen, Mathijs<br/> Pekroen, Adam","Netherlands",52.35,4.9166
"129","Amsterdam","11010","Surinaamse Galei","Gold Coast","Suriname","1743","208","Ridder, Jan de","Netherlands",52.35,4.9166
"130","Amsterdam","10846","Meerenberg","Cape Lahou","Demerara","1790",NA,"Hansen, Matthijs","Netherlands",52.35,4.9166
"131","Amsterdam","10605","Gezegend Suikerriet","Africa.","Suriname","1745","300","Schnijder, Jan Daniel<br/> Rust, Jonas","Netherlands",52.35,4.9166
"132","Amsterdam","10435","Anna Galei","Windward + Ivory + Gold + Benin","Suriname","1752","261","Bruijn, Arend","Netherlands",52.35,4.9166
"133","Amsterdam","98807","Jonge Prins (a) Príncipe Mozo","West Central Africa and St. Helena","Spanish Americas","1662",NA,NA,"Netherlands",52.35,4.9166
"134","Amsterdam","10606","Gezegend Suikerriet","Africa.","Suriname","1748","300","Rust, Jonas","Netherlands",52.35,4.9166
"135","Amsterdam","44181","Phenix","West Central Africa and St. Helena","Curacao","1672",NA,"Amelius, Pieter","Netherlands",52.35,4.9166
"136","Amsterdam","10608","Gezegend Suikerriet","Anomabu","Suriname","1752","286","Lagerboom, Pieter","Netherlands",52.35,4.9166
"137","Amsterdam","11026","Surinaamse Welvaart","Windward + Ivory + Gold + Benin","Suriname","1768","293","Sluijter, Pieter Hermanus","Netherlands",52.35,4.9166
"138","Amsterdam","10894","Nicolaas","Gold Coast","Suriname","1762","338","Bruijn, Arend","Netherlands",52.35,4.9166
"139","Amsterdam","47395",NA,"Cape Verde Islands",NA,"1686",NA,"Oliveira, Gabriel Vaz de","Netherlands",52.35,4.9166
"140","Amsterdam","11583","S Catharina","West Central Africa and St. Helena",NA,"1671",NA,"Lens, Christoffel","Netherlands",52.35,4.9166
"141","Amsterdam","10609","Gezegend Suikerriet","Kormantine","Suriname","1754","250","Lagerboom, Pieter","Netherlands",52.35,4.9166
"142","Amsterdam","10404","Africaander","Windward + Ivory + Gold + Benin","Suriname","1746","300","Hagerop, Christiaan","Netherlands",52.35,4.9166
"143","Annapolis","25371","Tulip","Gambia","Antigua","1762",NA,"Craig, Arthur",NA,NA,NA
"144","Antigua","81729","Harlequin","Africa.","Barbados","1787","40","Walker, William",NA,NA,NA
"145","Antigua","81658","Grace",NA,NA,"1783",NA,"Cocro",NA,NA,NA
"146","Antigua","15008","Saint Lawrence Victorious","Whydah","Jamaica","1705","238","Cunningham, John<br/> Ball, William",NA,NA,NA
"147","Antigua","15082","Constant Rachel","Cape Coast Castle","Saint John (Antigua)","1706","176","Lorriston, George",NA,NA,NA
"148","Antigua","15105","Charles","Africa.","Saint John (Antigua)","1701","75","Martin, Phillip<br/> Youmans, Joseph",NA,NA,NA
"149","Antigua","15106","Antigua Merchant","Africa.","Saint John (Antigua)","1701","46","Mahune, James<br/> Lee, Samuel",NA,NA,NA
"150","Antigua","15109","Phoenix","Africa.","Saint John (Antigua)","1702","9","Smith, Thomas<br/> Clarke, William",NA,NA,NA
"151","Antigua","15116","William","Africa.","Saint John (Antigua)","1702","100","Eaton, William<br/> Partridge, Robert",NA,NA,NA
"152","Antigua","15202","Pearl","Gold Coast","Saint John (Antigua)","1715",NA,"Green, John",NA,NA,NA
"153","Antigua","24956","Adventure","Gambia",NA,"1752",NA,"Wilson",NA,NA,NA
"154","Antigua","24974","Eltham","Africa.","Barbados","1753","51","Appleton, Thomas",NA,NA,NA
"155","Antigua","25002","Sally","Gambia","Saint John (Antigua)","1756",NA,"Darvil, N",NA,NA,NA
"156","Antigua","25003","Africa","Gambia","Saint John (Antigua)","1756",NA,"Vening, William",NA,NA,NA
"157","Antigua","25005","Vening","Gambia",NA,"1756",NA,"Tender",NA,NA,NA
"158","Antigua","25013","Charming Betty","Gambia","Saint John (Antigua)","1759",NA,"Wilder",NA,NA,NA
"159","Antigua","25025","Prince George","Gambia","Saint John (Antigua)","1754",NA,"Vernon, William",NA,NA,NA
"160","Antigua","25032","Fortune","Gambia","Saint John (Antigua)","1755",NA,"Millar, Chris",NA,NA,NA
"161","Antigua","16104","Carter Gally","Africa.",NA,"1713",NA,"Mullington, Richard",NA,NA,NA
"162","Antigua","9742","Flying Fame","Gold Coast","Saint John (Antigua)","1707","114","Hoop, Henry",NA,NA,NA
"163","Antigua","9753","Amiable","Gambia","Saint John (Antigua)","1708","145","Sellwood, John",NA,NA,NA
"164","Antigua","20091","Benjamin","Gambia","Barbados","1687","228","Andrews, Joseph",NA,NA,NA
"165","Antigua","9767","Flying Fame","Cape Coast Castle","Saint John (Antigua)","1708","110","Jarrett, Allan",NA,NA,NA
"166","Antigua","20403","William","Africa.","Barbados","1711","117","Green, John",NA,NA,NA
"167","Antigua","20459","Union","West Central Africa and St. Helena","Barbados","1716","77","Clements, Samuel",NA,NA,NA
"168","Antigua","20523","Pearle Gally","Gold Coast","Barbados","1718","93","Clements, Samuel",NA,NA,NA
"169","Antigua","20813",NA,"Africa.","Saint John (Antigua)","1708","130",NA,NA,NA,NA
"170","Antigua","20814",NA,"Africa.","Saint John (Antigua)","1708","130",NA,NA,NA,NA
"171","Antigua","20850","Pearl","Gold Coast","Barbados","1713","137","Green, John",NA,NA,NA
"172","Antigua","20872","Flying Fame",NA,NA,"1709",NA,"Hobart, Daniel",NA,NA,NA
"173","Antigua","20873","Rogers","Cape Coast Castle","Saint John (Antigua)","1710",NA,"Green, Jonathan",NA,NA,NA
"174","Antigua","20874","Nightingale","Cape Coast Castle","Saint John (Antigua)","1713","95","Taylor, Thomas",NA,NA,NA
"175","Antigua","20875","Elizabeth","Whydah","Saint John (Antigua)","1713","130","Hall, Joseph",NA,NA,NA
"176","Antigua","20884","Phoenix","Gold Coast",NA,"1705",NA,"Fowles, Zachary",NA,NA,NA
"177","Antigua","20887","Grand Content",NA,NA,"1706",NA,"Keeble, Robert",NA,NA,NA
"178","Antigua","83177","Preston","Sierra Leone estuary","Havana","1785",NA,"Brighouse, William",NA,NA,NA
"179","Antigua","81678","Griffin",NA,NA,"1783",NA,"McYauley",NA,NA,NA
"180","Antigua","20918","Amiable Sloop","Cape Coast Castle","Saint John (Antigua)","1709","145","Jarrett, Allan",NA,NA,NA
"181","Antigua","20920","Amiable",NA,NA,"1709",NA,NA,NA,NA,NA
"182","Antigua","20927","Grand Content","Gold Coast","Saint John (Antigua)","1706",NA,"Fowle, Zachariah",NA,NA,NA
"183","Antigua","21105",NA,"Africa.","Saint John (Antigua)","1688",NA,NA,NA,NA,NA
"184","Antigua","21138","Bridgewater","Whydah","Saint John (Antigua)","1703","226",NA,NA,NA,NA
"185","Antigua","21173","Pearl","Gold Coast","Saint John (Antigua)","1705","87","Hicks, Michael<br/> Roach, John",NA,NA,NA
"186","Antigua","21175","Shrewsbury Galley","Gold Coast","Jamaica","1705","120","Ingle, John",NA,NA,NA
"187","Antigua","23005",NA,"Africa.","Essequibo","1748","45",NA,NA,NA,NA
"188","Antigua","24072","Mary","Africa.",NA,"1708",NA,"Jarrett, Allan",NA,NA,NA
"189","Antigua","24525","Black Prince","Africa.","Saint John (Antigua)","1762",NA,"Dodd<br/> Forster",NA,NA,NA
"190","Antigua","24611","Catherine","Africa.","Saint John (Antigua)","1766",NA,"Punter, Joseph",NA,NA,NA
"191","Antigua","24623","Polly","Anomabu","Barbados","1767","268","Morsom, Robert",NA,NA,NA
"192","Antigua","24637","Sally","Windward Coast","Saint John (Antigua)","1767","100","Briggs, Nathaniel",NA,NA,NA
"193","Antigua","24768","Three Brothers","Saint-Louis","Dominica","1775",NA,"Kinghorn<br/> Mure",NA,NA,NA
"194","Antigua","25011","Charming Betty (a) Beckey","Gambia","Saint John (Antigua)","1758",NA,"Harrison, Anty",NA,NA,NA
"195","Antigua","25100","Pearl","Gold Coast","Barbados","1714","148","Green, John",NA,NA,NA
"196","Antigua","25144","Friendship","Africa.","Saint John (Antigua)","1715",NA,"Griffiths, William",NA,NA,NA
"197","Antigua","25373","Edward and John","Africa.","Saint John (Antigua)","1719","128","Nibbs, Thomas",NA,NA,NA
"198","Antigua","25374","Edward and John","Cape Coast Castle",NA,"1720",NA,"Green, John",NA,NA,NA
"199","Antigua","25385","Hope","Saint-Louis",NA,"1765",NA,"Seton, Geo",NA,NA,NA
"200","Antigua","25706",NA,"Cape Coast Castle",NA,"1721",NA,"Green",NA,NA,NA
"201","Antigua","25831","Speedwell","Anomabu",NA,"1730",NA,"Boucher",NA,NA,NA
"202","Antigua","26091","Harriot","Gold Coast",NA,"1728",NA,"Lamb",NA,NA,NA
"203","Antigua","26288","Nancy","Africa.","Annapolis","1758","13","Lang, William",NA,NA,NA
"204","Antigua","27002","Africa","Africa.","Saint John (Antigua)","1755",NA,"Venning",NA,NA,NA
"205","Antigua","27018","Charming Sally","Africa.",NA,"1755",NA,"Gosling",NA,NA,NA
"206","Antigua","99010","Mary","Cape Coast Castle","Saint John (Antigua)","1708",NA,"Hooper, Henry",NA,NA,NA
"207","Antigua","77247","Enterprize","Gambia","St. Croix","1758",NA,"Forrest, Robert",NA,NA,NA
"208","Antigua","27210","Neptune","Africa.",NA,"1749",NA,"Wilson",NA,NA,NA
"209","Antigua","17404","Cape Mount","Africa.","Saint John (Antigua)","1756",NA,"Stroud, Walker",NA,NA,NA
"210","Antigua","26083","Neptune","Africa.",NA,"1728",NA,"Griffiths",NA,NA,NA
"211","Antigua","78838","Rebecca","Saint-Louis","Saint John (Antigua)","1765",NA,"Wilcox, Jas",NA,NA,NA
"212","Antigua","78839","Rebecca","Saint-Louis",NA,"1765",NA,"Lanagen, Jno",NA,NA,NA
"213","Antwerp","2344","Cantabre (a) Marie Angélique","Whydah","Santiago de Cuba","1826",NA,"Chemin, Guillaume","Belgium",51.2204,4.415
"214","Antwerp","34566","Firmine (a) Henriette (a) Aimable Henrie","Calabar","Santiago de Cuba","1827","307","Loréal, Désiré<br/> Lecour","Belgium",51.2204,4.415
"215","Azores","41231",NA,"Bissau","Lisbon","1729","35","Caetano, Patrício",NA,NA,NA
"216","Bahia","3888","Grande Poder de Deus","Lagos, Onim","Freetown","1844","39","Ribeiro, José de Conceição",NA,NA,NA
"217","Bahia","3893","Ave Maria",NA,NA,"1844",NA,"Faria, José Manoel de",NA,NA,NA
"218","Bahia","3949","Mosca","Porto Novo","Bahia","1849","72","Viana, João R",NA,NA,NA
"219","Bahia","3950","Tentativa Feliz","Gallinhas","Bahia","1849","720","Silva, Lourenço Domingues da",NA,NA,NA
"220","Bahia","3951","Lusitano","Africa.","Bahia","1849","420","Germano, Gonçalo Rodrigues",NA,NA,NA
"221","Bahia","3952","Felicidade","Africa.","Bahia","1849","410","Chamusca, S M",NA,NA,NA
"222","Bahia","3953","Esperança","Africa.","Bahia","1849","800","Souza, Francisco Antônio da",NA,NA,NA
"223","Bahia","3955","Andorinha","Africa.","Bahia","1849","250","Fonseca, José Pereira da",NA,NA,NA
"224","Bahia","3956","Moquim","Porto Novo","Bahia","1849",NA,"Carvalho, Joaquim F",NA,NA,NA
