"","port_origin","voyage_id","ship_name","place_of_purchase","port_arrival","year_arrival","n_slaves_arrived","captains_name","country","lat","lng"
"2443","Bahia","51788","S Antônio e Almas","Costa da Mina","Bahia","1724","116","Azevedo, Manoel Dias<br/> Francisco, Manoel<br/> Lima, Rodrigues Domingos",NA,NA,NA
"2444","Bahia","51790","NS Mãe de Deus e S José","Luanda","Bahia","1723",NA,"Dourado, Custódio Gomes",NA,NA,NA
"2445","Bahia","51791","NS do Rosario e Almas","Whydah","Bahia","1722",NA,"Martins, Antônio",NA,NA,NA
"2446","Bahia","11220",NA,"Luanda","Bahia","1646",NA,NA,NA,NA,NA
"2447","Bahia","51794","NS da Piedade e S Félix","Whydah","Bahia","1723",NA,"Maciel, Manoel Dias",NA,NA,NA
"2448","Bahia","51795","NS do Rosario e S Antônio","Costa da Mina","Bahia","1722",NA,"Belém, José de Oliveira",NA,NA,NA
"2449","Bahia","51797","Jesus Maria José","Costa da Mina","Bahia","1722",NA,"Ribeiro, Gaspar<br/> Gonçalves, Adrião<br/> Xavier, Antônio Fernando",NA,NA,NA
"2450","Bahia","51799","NS de Nazaré S Félix e Almas","Costa da Mina","Bahia","1722",NA,"Vieira, Custódio Gonçalves",NA,NA,NA
"2451","Bahia","51800","NS da Guia e S Boaventura","Whydah","Bahia","1723",NA,"Cruz, Domingos Rodrigues",NA,NA,NA
"2452","Bahia","51801","NS do Monserrat e S Antônio","Gold Coast","Bahia","1684",NA,NA,NA,NA,NA
"2453","Bahia","51804","NS de Nazaré S Antônio e Almas","Luanda","Bahia","1729","478","Lopes, Manoel Dias",NA,NA,NA
"2454","Bahia","51805","NS do Cabo e S Cruz","Luanda","Bahia","1729","555","Braga, Agostinho Pereira",NA,NA,NA
"2455","Bahia","11233",NA,"Luanda","Bahia","1627",NA,NA,NA,NA,NA
"2456","Bahia","51809","NS de Nazaré S Antônio e Almas","Luanda","Bahia","1745","291","Silva, Simão da",NA,NA,NA
"2457","Bahia","11235",NA,"Luanda","Bahia","1627","360",NA,NA,NA,NA
"2458","Bahia","51811","Jesus Maria José e Almas","Luanda","Bahia","1746","271","Pereira, José Francisco",NA,NA,NA
"2459","Bahia","51812","Santana S Joaquim e NS da Conceição","Luanda","Bahia","1746","327","Silva, Faustino Luís da",NA,NA,NA
"2460","Bahia","11238",NA,"Luanda","Bahia","1624",NA,NA,NA,NA,NA
